hs_code,description,mfn_rate
0201300041,af bisonokse,0.128
0201300049,I andre tilfælde,0.128
0201300090,I andre tilfælde,0.128
0202100011,af bisonokse,0.128
0202100015,I andre tilfælde,0.128
0202100091,af bisonokse,0.128
0202100099,I andre tilfælde,0.128
0202201011,af bisonokse,0.128
0202201015,I andre tilfælde,0.128
0202201091,af bisonokse,0.128
0202201099,I andre tilfælde,0.128
0202203011,af bisonokse,0.128
0202203015,I andre tilfælde,0.128
0202203081,af bisonokse,0.128
0202203082,I andre tilfælde,0.128
0202203083,af bisonokse,0.128
0202203084,I andre tilfælde,0.128
0202203085,af bisonokse,0.128
0202203086,I andre tilfælde,0.128
0202203087,af bisonokse,0.128
0202203088,I andre tilfælde,0.128
0202205011,af bisonokse,0.128
0202205015,I andre tilfælde,0.128
0202205091,af bisonokse,0.128
0202205099,I andre tilfælde,0.128
0202209011,af bisonokse,0.128
0202209015,I andre tilfælde,0.128
0202209091,af bisonokse,0.128
0202209099,I andre tilfælde,0.128
0202301011,af bisonokse,0.128
0202301015,I andre tilfælde,0.128
0202301081,af bisonokse,0.128
0202301082,I andre tilfælde,0.128
0202301083,af bisonokse,0.128
0202301084,I andre tilfælde,0.128
0202301085,af bisonokse,0.128
0202301086,I andre tilfælde,0.128
0202301087,af bisonokse,0.128
0202301088,I andre tilfælde,0.128
0202305011,af bisonokse,0.128
0202305015,I andre tilfælde,0.128
0202305081,af bisonokse,0.128
0202305082,I andre tilfælde,0.128
0202305083,af bisonokse,0.128
0202305084,I andre tilfælde,0.128
0202305085,af bisonokse,0.128
0202305086,I andre tilfælde,0.128
0202305087,af bisonokse,0.128
0202305088,I andre tilfælde,0.128
0202309011,af bisonokse,0.128
0202309015,I andre tilfælde,0.128
0202309041,af bisonokse,0.128
0202309042,I andre tilfælde,0.128
0202309043,af bisonokse,0.128
0202309044,I andre tilfælde,0.128
0202309045,af bisonokse,0.128
0202309046,I andre tilfælde,0.128
0202309047,af bisonokse,0.128
0202309048,I andre tilfælde,0.128
0202309070,"Til forarbejdning af varer henhørende under underpos. 1602 10, 1602 50 31 eller 1602 50 95 der ikke indeholder andet kød af hornkvæg, og som har et kollagen/protein-forhold på højst 0,45 og mindst består af 20 vægtprocent magert kød (eksklusive slagteraffald og fedt), hvor kød og gelé udgør mindst 85% af den samlede vægt; produktet skal underkastes en varmebehandling, der er tilstrækkelig til at sikre kødproteinets koagulering i hele produktet, som derfor ikke må vise spor af rødlig væske på snittefladen, når produktet gennemskæres langs en linie, der går gennem det tykkeste sted (A-produkter)",0.128
0202309075,"Til forarbejdning af andre varer end varer henhørende under underpos. ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 og 1602 90 61 (B-produkter)",0.128
0202309080,Andre varer,0.128
0202309090,Andre varer,0.128
0203111000,Af tamsvin(Svinekød),0.536
0203119000,"Af andre svin(Visse varer, der er anført i bilag I til traktaten)",0.0
0203121100,Skinke og stykker deraf(Svinekød),0.778
0203121900,Bov og stykker deraf(Svinekød),0.601
0203129000,"Af andre svin(Visse varer, der er anført i bilag I til traktaten)",0.0
0203191100,Forende og stykker deraf(Svinekød),0.601
0203191300,Kam og stykker deraf(Svinekød),0.869
0203191500,Brystflæsk og stykker deraf(Svinekød),0.467
0203195510,"Mørbrad, der frembydes separat",0.869
0203195515,Kam,0.869
0203195525,Stykker,0.869
0203195530,Skinke og stykker deraf,0.869
0203195590,Andre varer,0.869
0203195900,I andre tilfælde(Svinekød),0.869
0203199000,"Af andre svin(Visse varer, der er anført i bilag I til traktaten)",0.0
0203211000,Af tamsvin(Svinekød),0.536
0203219000,"Af andre svin(Visse varer, der er anført i bilag I til traktaten)",0.0
0203221100,Skinke og stykker deraf(Svinekød),0.778
0203221900,Bov og stykker deraf(Svinekød),0.601
0203229000,"Af andre svin(Visse varer, der er anført i bilag I til traktaten)",0.0
0203291100,Forende og stykker deraf(Svinekød),0.601
0203291300,Kam og stykker deraf(Svinekød),0.869
0203291500,Brystflæsk og stykker deraf(Svinekød),0.467
0203295520,Kam,0.869
0203295530,Stykker,0.869
0203295591,"Mørbrad, der frembydes separat",0.869
0203295592,Skinke og stykker deraf,0.869
0203295599,Andre varer,0.869
0203295900,I andre tilfælde(Svinekød),0.869
0203299000,"Af andre svin(Visse varer, der er anført i bilag I til traktaten)",0.0
0204100010,Af tamme lam,0.128
0204100090,I andre tilfælde,0.128
0204210010,Af tamfår,0.128
0204210090,I andre tilfælde,0.128
0204221010,Af tamfår,0.128
0204221090,I andre tilfælde,0.128
0204223010,Af tamfår,0.128
0204223090,I andre tilfælde,0.128
0204225010,Af tamfår,0.128
0204225090,I andre tilfælde,0.128
0204229010,Af tamfår,0.128
0204229090,I andre tilfælde,0.128
0204230011,Af lam,0.128
0204230019,I andre tilfælde,0.128
0204230091,Af lam,0.128
0204230099,I andre tilfælde,0.128
0204300010,Af tamme lam,0.128
0204300090,I andre tilfælde,0.128
0204410010,Af tamfår,0.128
0204410090,I andre tilfælde,0.128
0204421010,Af tamfår,0.128
0204421090,I andre tilfælde,0.128
0204423010,Af tamfår,0.128
0204423090,I andre tilfælde,0.128
0204425010,Af tamfår,0.128
0204425090,I andre tilfælde,0.128
0204429010,Af tamfår,0.128
0204429090,I andre tilfælde,0.128
0204431010,Af tamfår,0.128
0204431090,I andre tilfælde,0.128
0204439010,Af tamfår,0.128
0204439090,I andre tilfælde,0.128
0204501100,Hele og halve kroppe,0.128
0204501300,Forsæt (dobbelt forfjerding) og forfjerdinger,0.128
0204501500,Kam og/eller nyresteg (dobbelt ryg) og halv kam og/eller nyresteg (enkelt ryg),0.128
0204501900,Culotte (dobbelt kølle) og halv culotte,0.128
0204503100,Ikke udbenet kød,0.128
0204503910,Kød af kid,0.128
0204503990,Andre varer,0.128
0204505100,Hele og halve kroppe,0.128
0204505300,Forsæt (dobbelt forfjerding) og forfjerdinger,0.128
0204505500,Kam og/eller nyresteg (dobbelt ryg) og halv kam og/eller nyresteg (enkelt ryg),0.128
0204505900,Culotte (dobbelt kølle) og halv culotte,0.128
0204507100,Ikke udbenet kød,0.128
0204507910,Kød af kid,0.128
0204507990,Andre varer,0.128
0205002000,"Fersk eller kølet(Visse varer, der er anført i bilag I til traktaten)",0.051
0205008000,"Frosset(Visse varer, der er anført i bilag I til traktaten)",0.051
0206109511,af bisonokse,0.128
0206109515,I andre tilfælde,0.128
0206109591,af bisonokse,0.128
0206109599,I andre tilfælde,0.128
0206109800,Andre varer(Oksekød),0.0
0206210000,Tunger(Oksekød),0.0
0206220000,"Lever(Oksekød)(Visse varer, der er anført i bilag I til traktaten)",0.0
0206299111,af bisonokse,0.128
0206299115,I andre tilfælde,0.128
0206299121,af bisonokse,0.128
0206299129,Andre varer,0.128
0206299133,af bisonokse,0.128
0206299135,Andre varer,0.128
0206299137,af bisonokse,0.128
0206299138,Andre varer,0.128
0206299141,af bisonokse,0.128
0206299142,I andre tilfælde,0.128
0206299144,af bisonokse,0.128
0206299145,Andre varer,0.128
0206299151,af bisonokse,0.128
0206299159,Andre varer,0.128
0206299161,af bisonokse,0.128
0206299169,Andre varer,0.128
0206299171,af bisonokse,0.128
0206299179,Andre varer,0.128
0206299191,af bisonokse,0.128
0206299199,I andre tilfælde,0.128
0206299900,Andre varer(Oksekød),0.0
0206300010,Af tamsvin(Svinekød),0.0
0206300090,Af andre svin,0.0
0206410010,"Af tamsvin(Visse varer, der er anført i bilag I til traktaten)(Svinekød)",0.0
0206410090,"Af andre svin(Visse varer, der er anført i bilag I til traktaten)",0.0
0206490000,"Andre varer(Visse varer, der er anført i bilag I til traktaten)(Svinekød)",0.0
0206809100,"Varer af heste, æsler, mulæsler og muldyr(Visse varer, der er anført i bilag I til traktaten)",0.064
0206809900,Varer af får og geder(Fåre- og gedekød),0.0
0206909100,"Varer af heste, æsler, mulæsler og muldyr(Visse varer, der er anført i bilag I til traktaten)",0.064
0206909900,Varer af får og geder(Fåre- og gedekød),0.0
0207111000,"Plukkede, uden tarme, med hoved og fødder (såkaldte 83|pct.-høns)",0.262
0207113000,"Plukkede, rensede, uden hoved og fødder, men med hals, hjerte, lever og kråse (såkaldte 70|pct.-høns)",0.299
